event_date,site_id,total_events,unique_devices_reporting,critical_alerts,avg_signal_strength
2026-05-08,S013,142,13,12,-66.39259259259259
2026-05-08,S014,147,12,21,-66.97163120567376
2026-05-09,S001,143,20,9,-64.86861313868613
2026-05-09,S002,53,8,2,-66.26923076923077
2026-05-09,S003,124,17,6,-65.34745762711864
2026-05-09,S004,64,12,6,-66.48387096774194
2026-05-09,S005,58,8,5,-65.03508771929825
2026-05-09,S006,51,8,4,-64.74509803921569
2026-05-09,S007,81,11,7,-65.42307692307692
2026-05-09,S008,77,11,3,-61.513513513513516
2026-05-09,S009,110,16,8,-65.35849056603773
2026-05-09,S010,93,16,15,-67.42222222222222
2026-05-09,S011,93,14,8,-65.64444444444445
2026-05-09,S012,93,13,9,-64.31111111111112
2026-05-09,S013,98,13,10,-62.364583333333336
2026-05-09,S014,88,12,17,-70.20731707317073
